Model Group,Net Sales,% of Sales,RDR,SRC RDR,Cancel
2001 - SONATA,10,3.6 %,8,2,0
2024 29442A4S SONATA SEL AWD,2,20.0 %,2,0,0
2025 29412F4S SONATA SE,1,10.0 %,0,1,0
2025 29442A4S SONATA SEL AWD,5,50.0 %,5,0,0
2026 29442A4S SONATA SEL SPORT AWD,2,20.0 %,1,1,0
2006 - SONATA HEV,4,1.5 %,4,0,0
2024 294D2FBS SONATA HYBRID SEL,1,25.0 %,1,0,0
2024 294G2FBS SONATA HYBRID LIMITED,1,25.0 %,1,0,0
2025 294G2FBS SONATA HYBRID LIMITED,2,50.0 %,2,0,0
3001 - VENUE,2,0.7 %,1,1,0
2025 30402F45 VENUE SE,2,100.0 %,1,1,0
4001 - ELANTRA,15,5.5 %,12,3,0
2025 49452FT5 ELANTRA N LINE,1,6.7 %,1,0,0
2025 494E2F4S ELANTRA SE,9,60.0 %,6,3,0
2025 494G2F4S ELANTRA SEL SPORT,3,20.0 %,3,0,0
2025 494H2F4S ELANTRA SEL CONVENIENCE,2,13.3 %,2,0,0
4006 - ELANTRA HEV,6,2.2 %,6,0,0
2025 494B2FBS ELANTRA HYBRID SEL SPORT,1,16.7 %,1,0,0
2025 494C2FBS ELANTRA HYBRID BLUE,2,33.3 %,2,0,0
2025 494D2FBS ELANTRA HYBRID LIMITED,3,50.0 %,3,0,0
4008 - ELANTRA N,4,1.5 %,5,0,1
2025 4N4A2FT5 ELANTRA N,2,50.0 %,3,0,1
2025 4N4A3FT5 ELANTRA N M/T,2,50.0 %,2,0,0
5004 - IONIQ 5,2,0.7 %,2,0,0
2024 50442AEZ IONIQ 5 SEL AWD,1,50.0 %,1,0,0
"2025 50442AEZ IONIQ 5 AWD 19"" WHEELS SEL",1,50.0 %,1,0,0
6001 - SANTA FE,27,9.8 %,32,0,5
2024 65402AT5 SANTA FE SE 2.5T AWD,1,3.7 %,1,0,0
2024 654C2AT5 SANTA FE CALLIGRAPHY 2.5T AWD,1,3.7 %,1,0,0
2025 65402AT5 SANTA FE SE 2.5T AWD,3,11.1 %,5,0,2
2025 65432AT5 SANTA FE SEL 2.5T AWD,3,11.1 %,3,0,0
2025 65462AT5 SANTA FE XRT 2.5T AWD,4,14.8 %,4,0,0
2025 65492AT5 SANTA FE LIMITED 2.5T AWD,8,29.6 %,10,0,2
2025 654C2AT5 SANTA FE CALLIGRAPHY 2.5T AWD,3,11.1 %,4,0,1
2026 65432AT5 SANTA FE SEL 2.5T AWD,2,7.4 %,2,0,0
2026 654C2AT5 SANTA FE CALLIGRAPHY 2.5T AWD,2,7.4 %,2,0,0
6006 - SANTA FE HEV,28,10.2 %,28,0,0
2025 654F2ABS SANTA FE HYBRID SEL AWD,7,25.0 %,7,0,0
2025 654J2ABS SANTA FE HYBRID LIMITED AWD,5,17.9 %,5,0,0
2025 654M2ABS SANTA FE HYBRID CALLIGRAPHY AWD,9,32.1 %,9,0,0
2025 654M2FBS SANTA FE HYBRID CALLIGRAPHY FWD,1,3.6 %,1,0,0
2026 654F2ABS SANTA FE HYBRID SEL AWD,1,3.6 %,1,0,0
2026 654J2ABS SANTA FE HYBRID LIMITED AWD,4,14.3 %,4,0,0
2026 654M2ABS SANTA FE HYBRID CALLIGRAPHY AWD,1,3.6 %,1,0,0
7004 - IONIQ 9,2,0.7 %,3,0,1
2026 74452AEZ IONIQ 9 AWD SEL,1,50.0 %,1,0,0
2026 74472AEZ IONIQ 9 AWD PERFORMANCE LIMITED,1,50.0 %,2,0,1
8001 - TUCSON,40,14.5 %,41,2,3
2025 85402A4S TUCSON SE AWD,5,12.5 %,4,1,0
2025 85432A4S TUCSON SEL AWD,11,27.5 %,12,0,1
2025 85442A4S TUCSON XRT AWD,2,5.0 %,2,0,0
2025 85462A4S TUCSON SEL CONVENIENCE AWD,10,25.0 %,10,0,0
2025 85472A4S TUCSON LIMITED AWD,4,10.0 %,5,0,1
2026 85402A4S TUCSON SE AWD,0,0 %,0,1,1
