Age,Vehicle,Stock #,VIN,Odometer,MSRP,% of MSRP,Dealer Discounted,"Designated
Cost",Invoice,Profit,Price,"Total Dealer
Rebate","Consumer
Cash","Custom Discount
Amt","Total Customer
Incentives"
529,2024 Hyundai IONIQ 5 SEL,H6942,KM8KNDDF8RU310334,6,"$53,810 ",78%,"$41,731 ","$46,608 ","$53,788 ","($4,877)","$41,731 ",,$0 ,,$0 
509,2024 Hyundai Sonata Hybrid SEL,H6967,KMHL34JJ7RA099728,5,"$33,070 ",90%,"$29,657 ","$30,643 ","$32,068 ",($986),"$29,657 ",,$0 ,,$0 
355,2025 Hyundai Elantra Limited,H7113,KMHLP4DGXSU941714,5,"$28,630 ",90%,"$26,639 ","$27,914 ","$27,639 ","($1,275)","$25,889 ",$0 ,$0 ,,$750 
171,2025 Hyundai Elantra SE,H7232,KMHLL4DG5SU032520,5,"$24,440 ",90%,"$22,831 ","$22,256 ","$23,831 ",$575 ,"$22,081 ",$0 ,$0 ,,$750 
87,2025 Hyundai Elantra SE,H7284,KMHLL4DG6SU072055,11,"$24,495 ",90%,"$22,891 ","$24,341 ","$23,891 ","($1,450)","$22,141 ",$0 ,$0 ,,$750 
62,2025 Hyundai Elantra SE,H7305,KMHLL4DG3SU093056,11,"$23,995 ",90%,"$22,411 ","$23,861 ","$23,411 ","($1,450)","$21,661 ",$0 ,$0 ,,$750 
62,2025 Hyundai Elantra SE,H7306,KMHLL4DG4SU093129,11,"$24,040 ",90%,"$22,451 ","$23,901 ","$23,451 ","($1,450)","$21,701 ",$0 ,$0 ,,$750 
62,2025 Hyundai Elantra SE,H7307,KMHLL4DG6SU093231,11,"$24,040 ",90%,"$22,451 ","$23,901 ","$23,451 ","($1,450)","$21,701 ",$0 ,$0 ,,$750 
39,2025 Hyundai Elantra SE,H7351,KMHLL4DG3SU093445,6,"$24,540 ",90%,"$22,931 ","$24,381 ","$23,931 ","($1,450)","$22,181 ",$0 ,$0 ,,$750 
95,2025 Hyundai Elantra SEL Sport,H7273,KMHLM4DG4SU073010,11,"$25,135 ",90%,"$23,282 ","$24,732 ","$24,282 ","($1,450)","$22,532 ",$0 ,$0 ,,$750 
69,2025 Hyundai Elantra SEL Sport,H7299,KMHLM4DG4SU090678,11,"$25,105 ",90%,"$23,256 ","$24,706 ","$24,256 ","($1,450)","$22,506 ",$0 ,$0 ,,$750 
69,2025 Hyundai Elantra SEL Sport,H7300,KMHLM4DG8SU090067,6,"$25,620 ",90%,"$23,751 ","$25,201 ","$24,751 ","($1,450)","$23,001 ",$0 ,$0 ,,$750 
95,2025 Hyundai Elantra Hybrid Blue,H7276,KMHLM4DJ4SU177931,6,"$27,305 ",84%,"$25,521 ","$26,971 ","$26,521 ","($1,450)","$23,021 ",$0 ,$0 ,,"$2,500 "
133,2025 Hyundai Elantra Hybrid Limited,H7250,KMHLN4DJ7SU176141,6,"$31,655 ",86%,"$29,723 ","$31,023 ","$30,723 ","($1,300)","$27,223 ",$0 ,$0 ,,"$2,500 "
62,2025 Hyundai Elantra Hybrid Limited,H7308,KMHLN4DJ0SU179222,6,"$31,725 ",86%,"$29,785 ","$31,235 ","$30,785 ","($1,450)","$27,285 ",$0 ,$0 ,,"$2,500 "
7,2025 Hyundai Elantra N Base,H7375,KMHLW4DK6SU030156,5,"$36,260 ",100%,"$36,260 ","$35,142 ","$35,142 ","$1,118 ","$36,260 ",$0 ,$0 ,,$0 
371,2025 Hyundai Kona SEL,H7106,KM8HBCAB1SU238400,9,"$29,900 ",93%,"$27,748 ","$29,848 ","$28,748 ","($2,100)","$27,748 ",,$0 ,,$0 
231,2025 Hyundai Palisade Calligraphy Night Edition,H7209,KM8R7DGE9SU943085,5,"$56,840 ",87%,"$53,433 ","$54,708 ","$54,433 ","($1,275)","$49,683 ",$0 ,$0 ,,"$3,750 "
460,2025 Hyundai Santa Cruz SEL,H6998,5NTJCDDE0SH127248,12,"$36,770 ",92%,"$34,449 ","$36,147 ","$35,449 ","($1,698)","$33,699 ",$0 ,$0 ,,$750 
277,2025 Hyundai Santa Cruz SEL,H7190,5NTJCDDE9SH143805,6,"$36,880 ",92%,"$34,567 ","$35,842 ","$35,567 ","($1,275)","$33,817 ",$0 ,$0 ,,$750 
