vin_number,stock_number,vehicle_status,my,model_code,color,msrp,price
KMHRC8A35TU439323,,DS - Dealer Stock,2026,30422F45,GREEN,"$25,050 ","$24,455 "
KMHRC8A35TU426894,H7342,DS - Dealer Stock,2026,30422F45,GREEN,"$25,115 ","$24,517 "
KMHLM4DJ6TU190942,,DS - Dealer Stock,2026,494C2FBS,WHITE,"$27,805 ","$27,001 "
KMHL64JA7TA545729,HT7376,DS - Dealer Stock,2026,29442A4S,BLUE,"$32,355 ","$30,906 "
KMHL24JA3TA550664,,DS - Dealer Stock,2026,29412F4S,BLACK,"$28,785 ","$27,543 "
KM8RNES29TU085997,,DS - Dealer Stock,2026,J2432A65,SILVER,"$49,980 ","$47,876 "
KM8RNES27TU080863,,DS - Dealer Stock,2026,J2432A65,BLACK,"$50,295 ","$48,156 "
KM8RNES21TU080860,,DS - Dealer Stock,2026,J2432A65,BLACK,"$50,150 ","$47,998 "
KM8RNES20TU073785,H7393,DS - Dealer Stock,2026,J2432A65,WHITE,"$50,600 ","$48,460 "
KM8RMESA8TU027423,HT7391,DS - Dealer Stock,2026,J24H2A4T,BLACK,"$60,395 ","$58,503 "
KM8RMESA5TU049251,,DS - Dealer Stock,2026,J24H2A4T,BLACK,"$61,145 ","$59,200 "
KM8RMESA0TU054583,,DS - Dealer Stock,2026,J24H2A4T,BLACK,"$60,875 ","$58,972 "
KM8RMESA0TU030171,H7332,DS - Dealer Stock,2026,J24H2A4T,BRASS,"$61,580 ","$59,624 "
KM8RMES29TU070970,H7382,DS - Dealer Stock,2026,J2492A65,BRASS,"$59,655 ","$57,161 "
KM8RKES23TU015923,,DS - Dealer Stock,2026,J2472A65,GRAY,"$53,345 ","$51,272 "
KM8RJES24TU048335,H7289,DS - Dealer Stock,2026,J2452A65,WHITE,"$52,030 ","$49,850 "
KM8JEDD18TU429976,,DS - Dealer Stock,2026,854E2ABS,SILVER,"$44,510 ","$43,084 "
KM8JEDD16TU429944,,DS - Dealer Stock,2026,854E2ABS,RED,"$44,950 ","$43,514 "
KM8JEDD14TU409935,H7346,DS - Dealer Stock,2026,854E2ABS,BLUE,"$44,470 ","$43,074 "
KM8JEDD10TU427719,,DS - Dealer Stock,2026,854E2ABS,GRAY,"$44,450 ","$43,034 "
KM8JEDD10TU406563,,DS - Dealer Stock,2026,854E2ABS,SILVER,"$44,470 ","$43,074 "
KM8HFCAB4TU344006,H7264,DS - Dealer Stock,2026,Q1412A45,RED,"$30,830 ","$29,632 "
KM8HDCA3XTU412436,,DS - Dealer Stock,2026,Q14L2AT5,BLACK,"$32,095 ","$30,838 "
KM8HDCA31TU391105,H7356,DS - Dealer Stock,2026,Q1422AT5,BLUE,"$32,360 ","$31,119 "
KM8HACAB7TU391237,H7353,DS - Dealer Stock,2026,Q1402A45,BLACK,"$29,150 ","$28,429 "
KM8HACAB6TU420176,,DS - Dealer Stock,2026,Q1402A45,RED,"$29,340 ","$28,649 "
KM8HACAB6TU391228,H7352,DS - Dealer Stock,2026,Q1402A45,BLACK,"$29,175 ","$28,453 "
KM8HACAB6TU382433,H7315,DS - Dealer Stock,2026,Q1402A45,GRAY,"$29,160 ","$28,438 "
KM8HACAB0TU392035,,DS - Dealer Stock,2026,Q1402A45,WHITE,"$29,175 ","$28,453 "
7YAKRDDC0TY044301,H7398,DS - Dealer Stock,2026,51462AEZ,GRAY,"$51,735 ","$51,711 "
5NTJEDDFXTH164814,H7377,DS - Dealer Stock,2026,90472AT5,WHITE,"$46,570 ","$44,804 "
5NTJEDDF9TH166800,H7384,DS - Dealer Stock,2026,90472AT5,BLACK,"$45,935 ","$44,216 "
5NTJEDDF3TH164797,H7380,DS - Dealer Stock,2026,90472AT5,GRAY,"$46,555 ","$44,791 "
5NTJDDDF1TH168379,,DS - Dealer Stock,2026,90462AT5,GRAY,"$43,920 ","$42,254 "
5NMP5DGL4TH181857,,DS - Dealer Stock,2026,654C2AT5,GREEN,"$52,000 ","$49,670 "
5NMP5DGL1TH179127,H7396,DS - Dealer Stock,2026,654C2AT5,WHITE,"$52,275 ","$49,974 "
5NMP3DGL9TH174862,,DS - Dealer Stock,2026,65462AT5,GREEN,"$44,220 ","$42,308 "
5NMP3DGL5TH174308,,DS - Dealer Stock,2026,65462AT5,GRAY,"$44,220 ","$42,308 "
5NMP3DGL0TH171025,,DS - Dealer Stock,2026,65462AT5,GREEN,"$44,490 ","$42,549 "
